sheet,row,col,address,value,formula
"LABOR- SHELL ROLL, CS",7,18,R7,3.5,=F7+(1.5*C7)
"LABOR- SHELL ROLL, CS",7,19,S7,0,
"LABOR- SHELL ROLL, CS",7,20,T7,0.75,
"LABOR- SHELL ROLL, CS",7,21,U7,1.5,
"LABOR- SHELL ROLL, CS",7,22,V7,5.75,=SUM(R7:U7)
"LABOR- SHELL ROLL, CS",7,24,X7,4,=F7+(2*C7)
"LABOR- SHELL ROLL, CS",7,25,Y7,0,
"LABOR- SHELL ROLL, CS",7,26,Z7,0.75,
"LABOR- SHELL ROLL, CS",7,27,AA7,2,
"LABOR- SHELL ROLL, CS",7,28,AB7,6.75,=SUM(X7:AA7)
"LABOR- SHELL ROLL, CS",7,33,AG7,"This table is used in a few different ways.
Take the diameter of the Tank and you can find how many plates of a certain length you will need for (1) shell course.
Take the diameter and the shell thickness and you can see how many hours it takes for one shell course

",
"LABOR- SHELL ROLL, CS",8,1,A8,"FROM 3'-10"" TO 6'-3""",
"LABOR- SHELL ROLL, CS",8,2,B8,"FROM 46"" TO 75""",
"LABOR- SHELL ROLL, CS",8,3,C8,1,
"LABOR- SHELL ROLL, CS",8,4,D8,"240""",
"LABOR- SHELL ROLL, CS",8,6,F8,2,=C8*2
"LABOR- SHELL ROLL, CS",8,7,G8,0,
"LABOR- SHELL ROLL, CS",8,8,H8,0.75,
"LABOR- SHELL ROLL, CS",8,9,I8,1,
"LABOR- SHELL ROLL, CS",8,10,J8,3.75,=SUM(F8:I8)
"LABOR- SHELL ROLL, CS",8,12,L8,3,=F8+(1*C8)
"LABOR- SHELL ROLL, CS",8,13,M8,0,
"LABOR- SHELL ROLL, CS",8,14,N8,0.75,
"LABOR- SHELL ROLL, CS",8,15,O8,1,
"LABOR- SHELL ROLL, CS",8,16,P8,4.75,=SUM(L8:O8)
"LABOR- SHELL ROLL, CS",8,18,R8,3.5,=F8+(1.5*C8)
"LABOR- SHELL ROLL, CS",8,19,S8,0,
"LABOR- SHELL ROLL, CS",8,20,T8,0.75,
"LABOR- SHELL ROLL, CS",8,21,U8,1.5,
"LABOR- SHELL ROLL, CS",8,22,V8,5.75,=SUM(R8:U8)
"LABOR- SHELL ROLL, CS",8,24,X8,4,=F8+(2*C8)
"LABOR- SHELL ROLL, CS",8,25,Y8,0,
"LABOR- SHELL ROLL, CS",8,26,Z8,0.75,
"LABOR- SHELL ROLL, CS",8,27,AA8,2,
"LABOR- SHELL ROLL, CS",8,28,AB8,6.75,=SUM(X8:AA8)
"LABOR- SHELL ROLL, CS",9,1,A9,"FROM 6-4"" TO 7'-0""",
"LABOR- SHELL ROLL, CS",9,2,B9,"FROM 76"" TO 84""",
"LABOR- SHELL ROLL, CS",9,3,C9,1,
"LABOR- SHELL ROLL, CS",9,4,D9,"360""",
"LABOR- SHELL ROLL, CS",9,6,F9,4,=C9*4
"LABOR- SHELL ROLL, CS",9,7,G9,0,
"LABOR- SHELL ROLL, CS",9,8,H9,0.75,
"LABOR- SHELL ROLL, CS",9,9,I9,1,
"LABOR- SHELL ROLL, CS",9,10,J9,5.75,=SUM(F9:I9)
"LABOR- SHELL ROLL, CS",9,12,L9,5,=F9+(1*C9)
"LABOR- SHELL ROLL, CS",9,13,M9,0,
"LABOR- SHELL ROLL, CS",9,14,N9,0.75,
"LABOR- SHELL ROLL, CS",9,15,O9,1,
"LABOR- SHELL ROLL, CS",9,16,P9,6.75,=SUM(L9:O9)
"LABOR- SHELL ROLL, CS",9,18,R9,5.5,=F9+(1.5*C9)
"LABOR- SHELL ROLL, CS",9,19,S9,0,
"LABOR- SHELL ROLL, CS",9,20,T9,0.75,
"LABOR- SHELL ROLL, CS",9,21,U9,1.5,
"LABOR- SHELL ROLL, CS",9,22,V9,7.75,=SUM(R9:U9)
"LABOR- SHELL ROLL, CS",9,24,X9,7.5,=F9+(3.5*C9)
"LABOR- SHELL ROLL, CS",9,25,Y9,0,
"LABOR- SHELL ROLL, CS",9,26,Z9,0.75,
"LABOR- SHELL ROLL, CS",9,27,AA9,2,
"LABOR- SHELL ROLL, CS",9,28,AB9,10.25,=SUM(X9:AA9)
"LABOR- SHELL ROLL, CS",10,1,A10,"FROM 7'-1"" TO 7-6""",
"LABOR- SHELL ROLL, CS",10,2,B10,"FROM 85"" TO 90""",
"LABOR- SHELL ROLL, CS",10,3,C10,1,
"LABOR- SHELL ROLL, CS",10,4,D10,"360""",
"LABOR- SHELL ROLL, CS",10,6,F10,4,=C10*4
"LABOR- SHELL ROLL, CS",10,7,G10,0,
"LABOR- SHELL ROLL, CS",10,8,H10,0.75,
"LABOR- SHELL ROLL, CS",10,9,I10,1,
"LABOR- SHELL ROLL, CS",10,10,J10,5.75,=SUM(F10:I10)
"LABOR- SHELL ROLL, CS",10,12,L10,5,=F10+(1*C10)
"LABOR- SHELL ROLL, CS",10,13,M10,0,
"LABOR- SHELL ROLL, CS",10,14,N10,0.75,
"LABOR- SHELL ROLL, CS",10,15,O10,1,
"LABOR- SHELL ROLL, CS",10,16,P10,6.75,=SUM(L10:O10)
"LABOR- SHELL ROLL, CS",10,18,R10,5.5,=F10+(1.5*C10)
"LABOR- SHELL ROLL, CS",10,19,S10,0,
"LABOR- SHELL ROLL, CS",10,20,T10,0.75,
"LABOR- SHELL ROLL, CS",10,21,U10,1.5,
"LABOR- SHELL ROLL, CS",10,22,V10,7.75,=SUM(R10:U10)
"LABOR- SHELL ROLL, CS",10,24,X10,7.5,=F10+(3.5*C10)
"LABOR- SHELL ROLL, CS",10,25,Y10,0,
"LABOR- SHELL ROLL, CS",10,26,Z10,0.75,
"LABOR- SHELL ROLL, CS",10,27,AA10,2,
"LABOR- SHELL ROLL, CS",10,28,AB10,10.25,=SUM(X10:AA10)
"LABOR- SHELL ROLL, CS",11,1,A11,"FROM 7'-7"" TO 8'-0""",
"LABOR- SHELL ROLL, CS",11,2,B11,"FROM 91"" TO 96""",
"LABOR- SHELL ROLL, CS",11,3,C11,1,
"LABOR- SHELL ROLL, CS",11,4,D11,"360""",
"LABOR- SHELL ROLL, CS",11,6,F11,4,=C11*4
"LABOR- SHELL ROLL, CS",11,7,G11,0,
"LABOR- SHELL ROLL, CS",11,8,H11,1,
"LABOR- SHELL ROLL, CS",11,9,I11,1,
"LABOR- SHELL ROLL, CS",11,10,J11,6,=SUM(F11:I11)
"LABOR- SHELL ROLL, CS",11,12,L11,5,=F11+(1*C11)
"LABOR- SHELL ROLL, CS",11,13,M11,0,
"LABOR- SHELL ROLL, CS",11,14,N11,1,
"LABOR- SHELL ROLL, CS",11,15,O11,1,
"LABOR- SHELL ROLL, CS",11,16,P11,7,=SUM(L11:O11)
"LABOR- SHELL ROLL, CS",11,18,R11,5.5,=F11+(1.5*C11)
"LABOR- SHELL ROLL, CS",11,19,S11,0,
"LABOR- SHELL ROLL, CS",11,20,T11,1,
"LABOR- SHELL ROLL, CS",11,21,U11,1.5,
"LABOR- SHELL ROLL, CS",11,22,V11,8,=SUM(R11:U11)
"LABOR- SHELL ROLL, CS",11,24,X11,7.5,=F11+(3.5*C11)
"LABOR- SHELL ROLL, CS",11,25,Y11,0,
"LABOR- SHELL ROLL, CS",11,26,Z11,1,
"LABOR- SHELL ROLL, CS",11,27,AA11,2,
"LABOR- SHELL ROLL, CS",11,28,AB11,10.5,=SUM(X11:AA11)
"LABOR- SHELL ROLL, CS",12,1,A12,"FROM 8'-1"" TO 8'-6""",
"LABOR- SHELL ROLL, CS",12,2,B12,"FROM 97"" TO 102""",
"LABOR- SHELL ROLL, CS",12,3,C12,1,
"LABOR- SHELL ROLL, CS",12,4,D12,"360""",
"LABOR- SHELL ROLL, CS",12,6,F12,4,=C12*4
"LABOR- SHELL ROLL, CS",12,7,G12,0,
"LABOR- SHELL ROLL, CS",12,8,H12,1,
"LABOR- SHELL ROLL, CS",12,9,I12,1,
"LABOR- SHELL ROLL, CS",12,10,J12,6,=SUM(F12:I12)
"LABOR- SHELL ROLL, CS",12,12,L12,5,=F12+(1*C12)
"LABOR- SHELL ROLL, CS",12,13,M12,0,
"LABOR- SHELL ROLL, CS",12,14,N12,1,
"LABOR- SHELL ROLL, CS",12,15,O12,1,
"LABOR- SHELL ROLL, CS",12,16,P12,7,=SUM(L12:O12)
"LABOR- SHELL ROLL, CS",12,18,R12,5.5,=F12+(1.5*C12)
"LABOR- SHELL ROLL, CS",12,19,S12,0,
"LABOR- SHELL ROLL, CS",12,20,T12,1,
"LABOR- SHELL ROLL, CS",12,21,U12,1.5,
"LABOR- SHELL ROLL, CS",12,22,V12,8,=SUM(R12:U12)
"LABOR- SHELL ROLL, CS",12,24,X12,7.5,=F12+(3.5*C12)
"LABOR- SHELL ROLL, CS",12,25,Y12,0,
"LABOR- SHELL ROLL, CS",12,26,Z12,1,
"LABOR- SHELL ROLL, CS",12,27,AA12,2,
"LABOR- SHELL ROLL, CS",12,28,AB12,10.5,=SUM(X12:AA12)
"LABOR- SHELL ROLL, CS",13,1,A13,"FROM 8'-7"" TO 9'-0""",
"LABOR- SHELL ROLL, CS",13,2,B13,"FROM 103"" TO 108""",
"LABOR- SHELL ROLL, CS",13,3,C13,1,
"LABOR- SHELL ROLL, CS",13,4,D13,"360""",
"LABOR- SHELL ROLL, CS",13,6,F13,4,=C13*4
"LABOR- SHELL ROLL, CS",13,7,G13,1,
"LABOR- SHELL ROLL, CS",13,8,H13,1,
"LABOR- SHELL ROLL, CS",13,9,I13,1,
"LABOR- SHELL ROLL, CS",13,10,J13,7,=SUM(F13:I13)
"LABOR- SHELL ROLL, CS",13,12,L13,5,=F13+(1*C13)
"LABOR- SHELL ROLL, CS",13,13,M13,1,
"LABOR- SHELL ROLL, CS",13,14,N13,1,
"LABOR- SHELL ROLL, CS",13,15,O13,1,
"LABOR- SHELL ROLL, CS",13,16,P13,8,=SUM(L13:O13)
"LABOR- SHELL ROLL, CS",13,18,R13,5.5,=F13+(1.5*C13)
"LABOR- SHELL ROLL, CS",13,19,S13,1.5,
"LABOR- SHELL ROLL, CS",13,20,T13,1,
"LABOR- SHELL ROLL, CS",13,21,U13,1.5,
"LABOR- SHELL ROLL, CS",13,22,V13,9.5,=SUM(R13:U13)
"LABOR- SHELL ROLL, CS",13,24,X13,7.5,=F13+(3.5*C13)
"LABOR- SHELL ROLL, CS",13,25,Y13,2,
"LABOR- SHELL ROLL, CS",13,26,Z13,1,
"LABOR- SHELL ROLL, CS",13,27,AA13,2,
"LABOR- SHELL ROLL, CS",13,28,AB13,12.5,=SUM(X13:AA13)
"LABOR- SHELL ROLL, CS",14,1,A14,"FROM 9'-1"" TO 9'-6""",
"LABOR- SHELL ROLL, CS",14,2,B14,"FROM 109"" TO 114""",
"LABOR- SHELL ROLL, CS",14,3,C14,1,
"LABOR- SHELL ROLL, CS",14,4,D14,"360""",
"LABOR- SHELL ROLL, CS",14,6,F14,4,=C14*4
"LABOR- SHELL ROLL, CS",14,7,G14,1,
"LABOR- SHELL ROLL, CS",14,8,H14,1,
"LABOR- SHELL ROLL, CS",14,9,I14,1,
"LABOR- SHELL ROLL, CS",14,10,J14,7,=SUM(F14:I14)
"LABOR- SHELL ROLL, CS",14,12,L14,5,=F14+(1*C14)
"LABOR- SHELL ROLL, CS",14,13,M14,1,
"LABOR- SHELL ROLL, CS",14,14,N14,1,
"LABOR- SHELL ROLL, CS",14,15,O14,1,
"LABOR- SHELL ROLL, CS",14,16,P14,8,=SUM(L14:O14)
"LABOR- SHELL ROLL, CS",14,18,R14,5.5,=F14+(1.5*C14)
"LABOR- SHELL ROLL, CS",14,19,S14,1.5,
"LABOR- SHELL ROLL, CS",14,20,T14,1,
"LABOR- SHELL ROLL, CS",14,21,U14,1.5,
"LABOR- SHELL ROLL, CS",14,22,V14,9.5,=SUM(R14:U14)
"LABOR- SHELL ROLL, CS",14,24,X14,7.5,=F14+(3.5*C14)
"LABOR- SHELL ROLL, CS",14,25,Y14,2,
"LABOR- SHELL ROLL, CS",14,26,Z14,1,
"LABOR- SHELL ROLL, CS",14,27,AA14,2,
"LABOR- SHELL ROLL, CS",14,28,AB14,12.5,=SUM(X14:AA14)
"LABOR- SHELL ROLL, CS",15,1,A15,"FROM 9'-7"" TO 10'-0""",
"LABOR- SHELL ROLL, CS",15,2,B15,"FROM 115"" TO 120""",
"LABOR- SHELL ROLL, CS",15,3,C15,1,
"LABOR- SHELL ROLL, CS",15,4,D15,"480""",
"LABOR- SHELL ROLL, CS",15,6,F15,5,
"LABOR- SHELL ROLL, CS",15,7,G15,1,
"LABOR- SHELL ROLL, CS",15,8,H15,1,
"LABOR- SHELL ROLL, CS",15,9,I15,1,
"LABOR- SHELL ROLL, CS",15,10,J15,8,=SUM(F15:I15)
"LABOR- SHELL ROLL, CS",15,12,L15,6,=F15+(1*C15)
"LABOR- SHELL ROLL, CS",15,13,M15,1,
"LABOR- SHELL ROLL, CS",15,14,N15,1,
"LABOR- SHELL ROLL, CS",15,15,O15,1,
"LABOR- SHELL ROLL, CS",15,16,P15,9,=SUM(L15:O15)
"LABOR- SHELL ROLL, CS",15,18,R15,6.5,=F15+(1.5*C15)
"LABOR- SHELL ROLL, CS",15,19,S15,1.5,
"LABOR- SHELL ROLL, CS",15,20,T15,1,
"LABOR- SHELL ROLL, CS",15,21,U15,1.5,
"LABOR- SHELL ROLL, CS",15,22,V15,10.5,=SUM(R15:U15)
"LABOR- SHELL ROLL, CS",15,24,X15,8.5,=F15+(3.5*C15)
"LABOR- SHELL ROLL, CS",15,25,Y15,2,
"LABOR- SHELL ROLL, CS",15,26,Z15,1,
"LABOR- SHELL ROLL, CS",15,27,AA15,2,
"LABOR- SHELL ROLL, CS",15,28,AB15,13.5,=SUM(X15:AA15)
"LABOR- SHELL ROLL, CS",16,1,A16,"FROM 10' -1""TO 10'-6""",
"LABOR- SHELL ROLL, CS",16,2,B16,"FROM 121"" TO 126""",
"LABOR- SHELL ROLL, CS",16,3,C16,1,
"LABOR- SHELL ROLL, CS",16,4,D16,"480""",
"LABOR- SHELL ROLL, CS",16,6,F16,5,
"LABOR- SHELL ROLL, CS",16,7,G16,1,
"LABOR- SHELL ROLL, CS",16,8,H16,1,
"LABOR- SHELL ROLL, CS",16,9,I16,1,
"LABOR- SHELL ROLL, CS",16,10,J16,8,=SUM(F16:I16)
"LABOR- SHELL ROLL, CS",16,12,L16,6,=F16+(1*C16)
"LABOR- SHELL ROLL, CS",16,13,M16,1,
"LABOR- SHELL ROLL, CS",16,14,N16,1,
"LABOR- SHELL ROLL, CS",16,15,O16,1,
"LABOR- SHELL ROLL, CS",16,16,P16,9,=SUM(L16:O16)
"LABOR- SHELL ROLL, CS",16,18,R16,6.5,=F16+(1.5*C16)
"LABOR- SHELL ROLL, CS",16,19,S16,1.5,
"LABOR- SHELL ROLL, CS",16,20,T16,1,
"LABOR- SHELL ROLL, CS",16,21,U16,1.5,
"LABOR- SHELL ROLL, CS",16,22,V16,10.5,=SUM(R16:U16)
"LABOR- SHELL ROLL, CS",16,24,X16,8.5,=F16+(3.5*C16)
"LABOR- SHELL ROLL, CS",16,25,Y16,2,
"LABOR- SHELL ROLL, CS",16,26,Z16,1,
"LABOR- SHELL ROLL, CS",16,27,AA16,2,
"LABOR- SHELL ROLL, CS",16,28,AB16,13.5,=SUM(X16:AA16)
"LABOR- SHELL ROLL, CS",17,1,A17,"FROM 10'-7"" TO 11'-0""",
"LABOR- SHELL ROLL, CS",17,2,B17,"FROM 127"" TO 132""",
"LABOR- SHELL ROLL, CS",17,3,C17,1,
"LABOR- SHELL ROLL, CS",17,4,D17,"480""",
"LABOR- SHELL ROLL, CS",17,6,F17,5,
"LABOR- SHELL ROLL, CS",17,7,G17,1,
"LABOR- SHELL ROLL, CS",17,8,H17,1,
"LABOR- SHELL ROLL, CS",17,9,I17,1,
"LABOR- SHELL ROLL, CS",17,10,J17,8,=SUM(F17:I17)
"LABOR- SHELL ROLL, CS",17,12,L17,6,=F17+(1*C17)
"LABOR- SHELL ROLL, CS",17,13,M17,1,
"LABOR- SHELL ROLL, CS",17,14,N17,1,
"LABOR- SHELL ROLL, CS",17,15,O17,1,
"LABOR- SHELL ROLL, CS",17,16,P17,9,=SUM(L17:O17)
"LABOR- SHELL ROLL, CS",17,18,R17,6.5,=F17+(1.5*C17)
"LABOR- SHELL ROLL, CS",17,19,S17,1.5,
"LABOR- SHELL ROLL, CS",17,20,T17,1,
"LABOR- SHELL ROLL, CS",17,21,U17,1.5,
"LABOR- SHELL ROLL, CS",17,22,V17,10.5,=SUM(R17:U17)
"LABOR- SHELL ROLL, CS",17,24,X17,8.5,=F17+(3.5*C17)
"LABOR- SHELL ROLL, CS",17,25,Y17,2,
"LABOR- SHELL ROLL, CS",17,26,Z17,1,
"LABOR- SHELL ROLL, CS",17,27,AA17,2,
"LABOR- SHELL ROLL, CS",17,28,AB17,13.5,=SUM(X17:AA17)
"LABOR- SHELL ROLL, CS",18,1,A18,"FROM 11'-1"" TO 11'-6""",
"LABOR- SHELL ROLL, CS",18,2,B18,"FROM 133"" TO 138""",
"LABOR- SHELL ROLL, CS",18,3,C18,1,
"LABOR- SHELL ROLL, CS",18,4,D18,"480""",
"LABOR- SHELL ROLL, CS",18,6,F18,5,
"LABOR- SHELL ROLL, CS",18,7,G18,1,
"LABOR- SHELL ROLL, CS",18,8,H18,1,
"LABOR- SHELL ROLL, CS",18,9,I18,1,
"LABOR- SHELL ROLL, CS",18,10,J18,8,=SUM(F18:I18)
"LABOR- SHELL ROLL, CS",18,12,L18,6,=F18+(1*C18)
"LABOR- SHELL ROLL, CS",18,13,M18,1,
"LABOR- SHELL ROLL, CS",18,14,N18,1,
"LABOR- SHELL ROLL, CS",18,15,O18,1,
"LABOR- SHELL ROLL, CS",18,16,P18,9,=SUM(L18:O18)
"LABOR- SHELL ROLL, CS",18,18,R18,6.5,=F18+(1.5*C18)
"LABOR- SHELL ROLL, CS",18,19,S18,1.5,
"LABOR- SHELL ROLL, CS",18,20,T18,1,
"LABOR- SHELL ROLL, CS",18,21,U18,1.5,
"LABOR- SHELL ROLL, CS",18,22,V18,10.5,=SUM(R18:U18)
"LABOR- SHELL ROLL, CS",18,24,X18,8.5,=F18+(3.5*C18)
"LABOR- SHELL ROLL, CS",18,25,Y18,2,
"LABOR- SHELL ROLL, CS",18,26,Z18,1,
"LABOR- SHELL ROLL, CS",18,27,AA18,2,
"LABOR- SHELL ROLL, CS",18,28,AB18,13.5,=SUM(X18:AA18)
"LABOR- SHELL ROLL, CS",19,1,A19,"FROM 11'-7"" TO 12'-0""",
"LABOR- SHELL ROLL, CS",19,2,B19,"FROM 139"" TO 144""",
"LABOR- SHELL ROLL, CS",19,3,C19,1,
