sheet,row,col,address,value,formula
"TANK DESIGN, API",11,13,M11,1,=I11*1
"TANK DESIGN, API",11,15,O11,LIFT LUG,
"TANK DESIGN, API",11,16,P11,1,
"TANK DESIGN, API",11,17,Q11,"1/2"" X 6"" X 6""",
"TANK DESIGN, API",11,18,R11,SA240-304/304L,
"TANK DESIGN, API",11,20,T11,1,=P11*1
"TANK DESIGN, API",12,1,A12,ANCHOR CHAIRS,
"TANK DESIGN, API",12,2,B12,1,
"TANK DESIGN, API",12,3,C12,"(1) 1/2"" X 6"" X 6""",
"TANK DESIGN, API",12,4,D12,SA36,
"TANK DESIGN, API",12,6,F12,4,=B12*4
"TANK DESIGN, API",12,8,H12,ANCHOR CHAIRS,
"TANK DESIGN, API",12,9,I12,1,
"TANK DESIGN, API",12,10,J12,"(1) 1/2"" X 6"" X 6""",
"TANK DESIGN, API",12,11,K12,SA240-304/304L,
"TANK DESIGN, API",12,13,M12,4,=I12*4
"TANK DESIGN, API",12,15,O12,ANCHOR CHAIRS,
"TANK DESIGN, API",12,16,P12,1,
"TANK DESIGN, API",12,17,Q12,"(1) 1/2"" X 6"" X 6""",
"TANK DESIGN, API",12,18,R12,SA240-304/304L,
"TANK DESIGN, API",12,20,T12,4,=P12*4
"TANK DESIGN, API",13,3,C13,"(2) 1/2"" X 6"" X 12"" ",
"TANK DESIGN, API",13,4,D13,SA36,
"TANK DESIGN, API",13,10,J13,"(2) 1/2"" X 6"" X 12"" ",
"TANK DESIGN, API",13,11,K13,SA240-304/304L,
"TANK DESIGN, API",13,17,Q13,"(2) 1/2"" X 6"" X 12"" ",
"TANK DESIGN, API",13,18,R13,SA240-304/304L,
"TANK DESIGN, API",15,1,A15,BAFFLES,
"TANK DESIGN, API",15,2,B15,4,
"TANK DESIGN, API",15,3,C15,"1/4"" X "" X "" ",
"TANK DESIGN, API",15,4,D15,SA36,
"TANK DESIGN, API",15,8,H15,BAFFLES,
"TANK DESIGN, API",15,9,I15,4,
"TANK DESIGN, API",15,10,J15,"1/4"" X "" X "" ",
"TANK DESIGN, API",15,11,K15,SA240-304/304L,
