sheet,row,col,address,value,formula
"TANK DESIGN, ASME",11,9,I11,1,
"TANK DESIGN, ASME",11,10,J11,Savannah Tank Standard,
"TANK DESIGN, ASME",11,11,K11,SA240-304/304L,
"TANK DESIGN, ASME",11,12,L11,30,
"TANK DESIGN, ASME",11,13,M11,1,
"TANK DESIGN, ASME",11,15,O11,GROUND LUG & NP,
"TANK DESIGN, ASME",11,16,P11,1,
"TANK DESIGN, ASME",11,17,Q11,Savannah Tank Standard,
"TANK DESIGN, ASME",11,18,R11,SA240-304/304L,
"TANK DESIGN, ASME",11,19,S11,30,
"TANK DESIGN, ASME",11,20,T11,1,
"TANK DESIGN, ASME",12,1,A12,LIFT LUG,
"TANK DESIGN, ASME",12,2,B12,1,
"TANK DESIGN, ASME",12,3,C12,"1/2"" X 6"" X 6""",
"TANK DESIGN, ASME",12,4,D12,SA36,
"TANK DESIGN, ASME",12,6,F12,1,=B12*1
"TANK DESIGN, ASME",12,8,H12,LIFT LUG,
"TANK DESIGN, ASME",12,9,I12,1,
"TANK DESIGN, ASME",12,10,J12,"1/2"" X 6"" X 6""",
"TANK DESIGN, ASME",12,11,K12,SA240-304/304L,
"TANK DESIGN, ASME",12,13,M12,1,=I12*1
"TANK DESIGN, ASME",12,15,O12,LIFT LUG,
"TANK DESIGN, ASME",12,16,P12,1,
"TANK DESIGN, ASME",12,17,Q12,"1/2"" X 6"" X 6""",
"TANK DESIGN, ASME",12,18,R12,SA240-304/304L,
"TANK DESIGN, ASME",12,20,T12,1,=P12*1
"TANK DESIGN, ASME",13,1,A13,ANGLE LEGS,
"TANK DESIGN, ASME",13,2,B13,4,
"TANK DESIGN, ASME",13,3,C13,"1/4"" X 2"" X 2"" ",
"TANK DESIGN, ASME",13,4,D13,SA36,
"TANK DESIGN, ASME",13,8,H13,ANGLE LEGS,
"TANK DESIGN, ASME",13,9,I13,4,
"TANK DESIGN, ASME",13,10,J13,"1/4"" X 2"" X 2"" ",
"TANK DESIGN, ASME",13,11,K13,SA240-304/304L,
"TANK DESIGN, ASME",13,15,O13,ANGLE LEGS,
"TANK DESIGN, ASME",13,16,P13,4,
"TANK DESIGN, ASME",13,17,Q13,"1/4"" X 2"" X 2"" ",
"TANK DESIGN, ASME",13,18,R13,SA240-304/304L,
"TANK DESIGN, ASME",14,1,A14,BEAM LEGS,
